match_number,match_id,date,event_name,ground_name,ground_city,team_1,team_2,toss_winner,toss_decision,team_1_total_runs,team_2_total_runs,winner,margin_runs,margin_wickets,winning_method,player_of_the_match
2491,1459382,2024-11-26,ICC Men's T20 World Cup Sub Regional Africa Qualifier Group C,"Nigeria Cricket Federation Oval 2, Abuja",Abuja,Ivory Coast,Botswana,Botswana,field,31,35,Botswana,,10.0,,M Mooketsi
2492,1459383,2024-11-27,ICC Men's T20 World Cup Sub Regional Africa Qualifier Group C,"Nigeria Cricket Federation Oval 2, Abuja",Abuja,Nigeria,Sierra Leone,Sierra Leone,field,141,112,Nigeria,29.0,,,I Danladi
2493,1459384,2024-11-27,ICC Men's T20 World Cup Sub Regional Africa Qualifier Group C,"Nigeria Cricket Federation Oval 1, Abuja",Abuja,St Helena,Botswana,St Helena,bat,78,79,Botswana,,9.0,,K Motlanka
2494,1459385,2024-11-27,ICC Men's T20 World Cup Sub Regional Africa Qualifier Group C,"Nigeria Cricket Federation Oval 2, Abuja",Abuja,Ivory Coast,Eswatini,Ivory Coast,bat,41,44,Eswatini,,8.0,,R Sandeep
2495,1457235,2024-11-28,ICC Men's T20 World Cup Asia Qualifier B,"West End Park International Cricket Stadium, Doha",Doha,Bhutan,Cambodia,Cambodia,field,123,126,Cambodia,,5.0,,GC Murtaza
2496,1457236,2024-11-28,ICC Men's T20 World Cup Asia Qualifier B,University of Doha for Science and Technology,Doha,Saudi Arabia,Qatar,Qatar,field,165,166,Qatar,,6.0,,Mohammad Ahnaff
2497,1459278,2024-11-28,ICC Men's T20 World Cup Asia Qualifier B,University of Doha for Science and Technology,Doha,Bahrain,United Arab Emirates,Bahrain,bat,135,138,United Arab Emirates,,8.0,,A Sharafu
2498,1459377,2024-11-28,ICC Men's T20 World Cup Sub Regional Africa Qualifier Group C,"Nigeria Cricket Federation Oval 1, Abuja",Abuja,Ivory Coast,St Helena,Ivory Coast,bat,26,27,St Helena,,10.0,,J Yon
2499,1459378,2024-11-28,ICC Men's T20 World Cup Sub Regional Africa Qualifier Group C,"Nigeria Cricket Federation Oval 2, Abuja",Abuja,Sierra Leone,Eswatini,Sierra Leone,bat,155,46,Sierra Leone,109.0,,,A Turay
2500,1459379,2024-11-28,ICC Men's T20 World Cup Sub Regional Africa Qualifier Group C,"Nigeria Cricket Federation Oval 2, Abuja",Abuja,Nigeria,Botswana,Nigeria,bat,181,104,Nigeria,77.0,,,R Abdulkareem
2501,1444652,2024-12-01,Pakistan tour of Zimbabwe,"Queens Sports Club, Bulawayo",Bulawayo,Pakistan,Zimbabwe,Pakistan,bat,165,108,Pakistan,57.0,,,Tayyab Tahir
2502,1462926,2024-12-02,Bermuda tour of Argentina,"Hurlingham Club Ground, Buenos Aires",Buenos Aires,Bermuda,Argentina,Argentina,field,154,112,Bermuda,42.0,,,Jonte Smith
2503,1444653,2024-12-03,Pakistan tour of Zimbabwe,"Queens Sports Club, Bulawayo",Bulawayo,Zimbabwe,Pakistan,Zimbabwe,bat,57,61,Pakistan,,10.0,,Sufiyan Muqeem
2504,1462912,2024-12-04,Africa Continental Cup,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Uganda,Botswana,Botswana,field,164,86,Uganda,78.0,,,AR Ramjani
2505,1462916,2024-12-04,Africa Continental Cup,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Rwanda,Nigeria,Rwanda,bat,138,92,Nigeria,,6.0,D/L,IO Okpe
2506,1444654,2024-12-05,Pakistan tour of Zimbabwe,"Queens Sports Club, Bulawayo",Bulawayo,Pakistan,Zimbabwe,Pakistan,bat,132,133,Zimbabwe,,2.0,,BJ Bennett
2507,1462919,2024-12-05,Africa Continental Cup,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Nigeria,Botswana,Botswana,field,185,156,Nigeria,29.0,,,I Danladi
2508,1462921,2024-12-05,Africa Continental Cup,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Uganda,Rwanda,Rwanda,field,192,83,Uganda,112.0,,D/L,R Obuya
2509,1462877,2024-12-06,ICC Men's T20 World Cup Sub Regional Americas Qualifier,"St Albans Club, Buenos Aires",Buenos Aires,Panama,Suriname,Panama,bat,93,83,Panama,10.0,,,Irfan Hafejee
2510,1462878,2024-12-06,ICC Men's T20 World Cup Sub Regional Americas Qualifier,"St George's College Ground, Buenos Aires",Buenos Aires,Bahamas,Brazil,Bahamas,bat,89,63,Bahamas,26.0,,,M Taylor
2511,1462915,2024-12-06,Africa Continental Cup,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Nigeria,Uganda,Nigeria,bat,133,87,Uganda,,5.0,D/L,C Kyewuta
2512,1462924,2024-12-06,Africa Continental Cup,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Botswana,Rwanda,Rwanda,field,137,138,Rwanda,,10.0,,O Manishimwe
2513,1462880,2024-12-07,ICC Men's T20 World Cup Sub Regional Americas Qualifier,"Hurlingham Club Ground, Buenos Aires",Buenos Aires,Mexico,Brazil,Mexico,bat,102,55,Mexico,47.0,,,Shoaib Rafiq
2514,1462881,2024-12-07,ICC Men's T20 World Cup Sub Regional Americas Qualifier,"St George's College Ground, Buenos Aires",Buenos Aires,Argentina,Belize,Belize,field,101,96,Argentina,5.0,,,H Fennell
2515,1462882,2024-12-07,ICC Men's T20 World Cup Sub Regional Americas Qualifier,"Hurlingham Club Ground, Buenos Aires",Buenos Aires,Bermuda,Suriname,Bermuda,bat,161,69,Bermuda,92.0,,,K Fubler
2516,1462883,2024-12-07,ICC Men's T20 World Cup Sub Regional Americas Qualifier,"St George's College Ground, Buenos Aires",Buenos Aires,Cayman Islands,Panama,Cayman Islands,bat,124,41,Cayman Islands,83.0,,,A Wright
2517,1462927,2024-12-07,Africa Continental Cup,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Nigeria,Botswana,Nigeria,bat,141,142,Botswana,,3.0,,T Tshose
2518,1462931,2024-12-07,Africa Continental Cup,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Uganda,Rwanda,Rwanda,field,151,65,Uganda,86.0,,,Riazat Ali Shah
2519,1462884,2024-12-08,ICC Men's T20 World Cup Sub Regional Americas Qualifier,"St Albans Club, Buenos Aires",Buenos Aires,Panama,Bermuda,Panama,bat,60,61,Bermuda,,9.0,,TS Fray
2520,1462885,2024-12-08,ICC Men's T20 World Cup Sub Regional Americas Qualifier,"Hurlingham Club Ground, Buenos Aires",Buenos Aires,Bahamas,Argentina,Bahamas,bat,119,101,Bahamas,18.0,,,Festus Benn
2521,1462886,2024-12-08,ICC Men's T20 World Cup Sub Regional Americas Qualifier,"St Albans Club, Buenos Aires",Buenos Aires,Suriname,Brazil,Suriname,bat,101,102,Brazil,,6.0,,LH Rodrigues
2522,1462887,2024-12-08,ICC Men's T20 World Cup Sub Regional Americas Qualifier,"Hurlingham Club Ground, Buenos Aires",Buenos Aires,Cayman Islands,Belize,Cayman Islands,bat,151,107,Cayman Islands,44.0,,,ROC Dunka
2523,1462914,2024-12-08,Africa Continental Cup,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Rwanda,Botswana,Rwanda,bat,111,115,Botswana,,6.0,,M Badenhorst
2524,1462925,2024-12-08,Africa Continental Cup,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Nigeria,Uganda,Uganda,field,103,107,Uganda,,7.0,,H Ssenyondo
2525,1462922,2024-12-09,Africa Continental Cup,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Nigeria,Rwanda,Nigeria,bat,149,152,Rwanda,,6.0,,I Niyomugabo
2526,1462928,2024-12-09,Africa Continental Cup,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Uganda,Botswana,Botswana,field,229,121,Uganda,108.0,,,S Sesazi
2527,1432211,2024-12-10,Pakistan tour of South Africa,"Kingsmead, Durban",Durban,South Africa,Pakistan,South Africa,bat,183,172,South Africa,11.0,,,GF Linde
2528,1462888,2024-12-10,ICC Men's T20 World Cup Sub Regional Americas Qualifier,"Hurlingham Club Ground, Buenos Aires",Buenos Aires,Cayman Islands,Suriname,Suriname,field,142,143,Suriname,,6.0,,XSD Smith
2529,1462889,2024-12-10,ICC Men's T20 World Cup Sub Regional Americas Qualifier,"St Albans Club, Buenos Aires",Buenos Aires,Bahamas,Belize,Belize,field,117,114,Bahamas,3.0,,,K Hinds
2530,1462890,2024-12-10,ICC Men's T20 World Cup Sub Regional Americas Qualifier,"Hurlingham Club Ground, Buenos Aires",Buenos Aires,Mexico,Bermuda,Mexico,bat,96,97,Bermuda,,6.0,,OGL Bascome
2531,1462891,2024-12-10,ICC Men's T20 World Cup Sub Regional Americas Qualifier,"St Albans Club, Buenos Aires",Buenos Aires,Panama,Argentina,Panama,bat,92,95,Argentina,,6.0,,A Kirschbaum
2532,1462892,2024-12-11,ICC Men's T20 World Cup Sub Regional Americas Qualifier,"St George's College Ground, Buenos Aires",Buenos Aires,Mexico,Cayman Islands,Mexico,bat,85,86,Cayman Islands,,7.0,,YSD Seneveratne
2533,1462893,2024-12-11,ICC Men's T20 World Cup Sub Regional Americas Qualifier,"Hurlingham Club Ground, Buenos Aires",Buenos Aires,Bahamas,Panama,Bahamas,bat,109,88,Bahamas,21.0,,,Festus Benn
2534,1462894,2024-12-11,ICC Men's T20 World Cup Sub Regional Americas Qualifier,"St George's College Ground, Buenos Aires",Buenos Aires,Bermuda,Brazil,Brazil,field,149,62,Bermuda,87.0,,,D Sabir
2535,1462895,2024-12-11,ICC Men's T20 World Cup Sub Regional Americas Qualifier,"Hurlingham Club Ground, Buenos Aires",Buenos Aires,Suriname,Argentina,Suriname,bat,123,124,Argentina,,6.0,,P Baron
2536,1462917,2024-12-11,Africa Continental Cup,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Uganda,Nigeria,Nigeria,field,151,128,Uganda,23.0,,,C Kyewuta
2537,1462918,2024-12-11,Africa Continental Cup,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Rwanda,Botswana,Botswana,field,168,143,Rwanda,25.0,,,E Rukiriza
