match_number,match_id,date,event_name,ground_name,ground_city,team_1,team_2,toss_winner,toss_decision,team_1_total_runs,team_2_total_runs,winner,margin_runs,margin_wickets,winning_method,player_of_the_match
1551,1344789,2022-11-17,Desert Cup T20I Series,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Canada,Bahrain,Bahrain,field,160,164,Bahrain,,8.0,,Sarfaraz Ali
1552,1343744,2022-11-18,ICC Men's T20 World Cup Sub Regional Africa Qualifier,Gahanga International Cricket Stadium. Rwanda,Kigali City,Rwanda,St Helena,Rwanda,bat,130,76,Rwanda,54.0,,,E Sebareme
1553,1343745,2022-11-18,ICC Men's T20 World Cup Sub Regional Africa Qualifier,Integrated Polytechnic Regional Centre,Kigali City,Lesotho,Botswana,Botswana,field,91,97,Botswana,,10.0,,D Maisuria
1554,1343746,2022-11-18,ICC Men's T20 World Cup Sub Regional Africa Qualifier,Gahanga International Cricket Stadium. Rwanda,Kigali City,Kenya,Malawi,Kenya,bat,209,11,no result,,,,
1555,1343747,2022-11-18,ICC Men's T20 World Cup Sub Regional Africa Qualifier,Integrated Polytechnic Regional Centre,Kigali City,Seychelles,Mali,Mali,field,162,14,no result,,,,
1556,1344790,2022-11-19,Desert Cup T20I Series,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Canada,Saudi Arabia,Saudi Arabia,field,171,126,Canada,45.0,,,Ammar Khalid
1557,1344791,2022-11-19,Desert Cup T20I Series,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Oman,Bahrain,Bahrain,field,220,114,Oman,106.0,,,Zeeshan Maqsood
1558,1322276,2022-11-20,India tour of New Zealand,"Bay Oval, Mount Maunganui",Mount Maunganui,India,New Zealand,New Zealand,field,191,126,India,65.0,,,SA Yadav
1559,1343749,2022-11-20,ICC Men's T20 World Cup Sub Regional Africa Qualifier,Integrated Polytechnic Regional Centre,Kigali City,Mali,Kenya,Mali,bat,30,34,Kenya,,10.0,,P Koech
1560,1343750,2022-11-20,ICC Men's T20 World Cup Sub Regional Africa Qualifier,Gahanga International Cricket Stadium. Rwanda,Kigali City,Rwanda,Kenya,Kenya,field,87,90,Kenya,,9.0,,SO Ngoche
1561,1344792,2022-11-20,Desert Cup T20I Series,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Oman,Canada,Canada,field,169,170,Canada,,3.0,,A Johnson
1562,1344793,2022-11-20,Desert Cup T20I Series,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Bahrain,Saudi Arabia,Bahrain,bat,112,115,Saudi Arabia,,9.0,,Faisal Khan
1563,1343753,2022-11-21,ICC Men's T20 World Cup Sub Regional Africa Qualifier,Integrated Polytechnic Regional Centre,Kigali City,Kenya,Lesotho,Kenya,bat,237,70,Kenya,167.0,,,
1564,1344794,2022-11-21,Desert Cup T20I Series,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Saudi Arabia,Bahrain,Bahrain,field,155,123,Saudi Arabia,32.0,,,Saad Khan
1565,1344795,2022-11-21,Desert Cup T20I Series,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Oman,Canada,Canada,field,137,139,Canada,,8.0,,JOA Gordon
1566,1322277,2022-11-22,India tour of New Zealand,"McLean Park, Napier",Napier,New Zealand,India,New Zealand,bat,160,75,tie,,,D/L,Mohammed Siraj
1567,1343756,2022-11-22,ICC Men's T20 World Cup Sub Regional Africa Qualifier,Gahanga International Cricket Stadium. Rwanda,Kigali City,Mali,Botswana,Botswana,field,37,38,Botswana,,5.0,,D Maisuria
1568,1343757,2022-11-22,ICC Men's T20 World Cup Sub Regional Africa Qualifier,Integrated Polytechnic Regional Centre,Kigali City,St Helena,Lesotho,Lesotho,field,126,81,St Helena,45.0,,,A Yon
1569,1343758,2022-11-22,ICC Men's T20 World Cup Sub Regional Africa Qualifier,Gahanga International Cricket Stadium. Rwanda,Kigali City,Seychelles,Malawi,Malawi,field,42,0,no result,,,,
1570,1343760,2022-11-24,ICC Men's T20 World Cup Sub Regional Africa Qualifier,Gahanga International Cricket Stadium. Rwanda,Kigali City,St Helena,Malawi,Malawi,field,37,39,Malawi,,10.0,,Sami Sohail
1571,1343761,2022-11-24,ICC Men's T20 World Cup Sub Regional Africa Qualifier,Integrated Polytechnic Regional Centre,Kigali City,Rwanda,Seychelles,Rwanda,bat,122,47,Rwanda,75.0,,,E Dusingizimana
1572,1343762,2022-11-24,ICC Men's T20 World Cup Sub Regional Africa Qualifier,Gahanga International Cricket Stadium. Rwanda,Kigali City,Botswana,Kenya,Botswana,bat,116,122,Kenya,,8.0,,CO Obuya
1573,1343763,2022-11-24,ICC Men's T20 World Cup Sub Regional Africa Qualifier,Integrated Polytechnic Regional Centre,Kigali City,Mali,Rwanda,Rwanda,field,30,34,Rwanda,,10.0,,K Irakoze
1574,1343764,2022-11-25,ICC Men's T20 World Cup Sub Regional Africa Qualifier,Gahanga International Cricket Stadium. Rwanda,Kigali City,Seychelles,Kenya,Seychelles,bat,94,82,Kenya,,7.0,D/L,P Koech
1575,1343767,2022-11-25,ICC Men's T20 World Cup Sub Regional Africa Qualifier,Integrated Polytechnic Regional Centre,Kigali City,Rwanda,Lesotho,Rwanda,bat,192,0,no result,,,,
1576,1343768,2022-12-01,ICC Men's T20 World Cup Sub Regional Africa Qualifier,Gahanga International Cricket Stadium. Rwanda,Kigali City,Sierra Leone,Tanzania,Tanzania,field,57,47,Tanzania,,9.0,D/L,HA Chohan
1577,1343770,2022-12-01,ICC Men's T20 World Cup Sub Regional Africa Qualifier,Gahanga International Cricket Stadium. Rwanda,Kigali City,Mozambique,Nigeria,Nigeria,field,86,87,Nigeria,,8.0,,AA Onikoyi
1578,1343771,2022-12-01,ICC Men's T20 World Cup Sub Regional Africa Qualifier,Integrated Polytechnic Regional Centre,Kigali City,Gambia,Eswatini,Eswatini,field,122,123,Eswatini,,5.0,,T Sandeep
1579,1343772,2022-12-02,ICC Men's T20 World Cup Sub Regional Africa Qualifier,Gahanga International Cricket Stadium. Rwanda,Kigali City,Sierra Leone,Nigeria,Nigeria,field,62,63,Nigeria,,6.0,,P Aho
1580,1343773,2022-12-02,ICC Men's T20 World Cup Sub Regional Africa Qualifier,Integrated Polytechnic Regional Centre,Kigali City,Ghana,Mozambique,Mozambique,field,111,115,Mozambique,,7.0,,F Damiao Couana
1581,1343774,2022-12-02,ICC Men's T20 World Cup Sub Regional Africa Qualifier,Gahanga International Cricket Stadium. Rwanda,Kigali City,Cameroon,Sierra Leone,Sierra Leone,field,146,150,Sierra Leone,,1.0,,A Turay
1582,1343775,2022-12-02,ICC Men's T20 World Cup Sub Regional Africa Qualifier,Integrated Polytechnic Regional Centre,Kigali City,Eswatini,Mozambique,Mozambique,field,150,151,Mozambique,,9.0,,F Damiao Couana
1583,1343776,2022-12-04,ICC Men's T20 World Cup Sub Regional Africa Qualifier,Gahanga International Cricket Stadium. Rwanda,Kigali City,Cameroon,Mozambique,Mozambique,field,95,98,Mozambique,,9.0,,J Bulele
1584,1343777,2022-12-04,ICC Men's T20 World Cup Sub Regional Africa Qualifier,Integrated Polytechnic Regional Centre,Kigali City,Nigeria,Eswatini,Eswatini,field,221,103,Nigeria,118.0,,,A Shreshta
1585,1343778,2022-12-04,ICC Men's T20 World Cup Sub Regional Africa Qualifier,Gahanga International Cricket Stadium. Rwanda,Kigali City,Ghana,Tanzania,Tanzania,field,121,122,Tanzania,,4.0,,II Selemani
1586,1343780,2022-12-05,ICC Men's T20 World Cup Sub Regional Africa Qualifier,Gahanga International Cricket Stadium. Rwanda,Kigali City,Mozambique,Tanzania,Tanzania,field,81,82,Tanzania,,6.0,,K Nassoro
1587,1343781,2022-12-05,ICC Men's T20 World Cup Sub Regional Africa Qualifier,Integrated Polytechnic Regional Centre,Kigali City,Sierra Leone,Eswatini,Eswatini,field,52,48,Sierra Leone,4.0,,,L Lamin
1588,1343782,2022-12-05,ICC Men's T20 World Cup Sub Regional Africa Qualifier,Gahanga International Cricket Stadium. Rwanda,Kigali City,Cameroon,Nigeria,Nigeria,field,72,31,Nigeria,17.0,,D/L,
1589,1343783,2022-12-05,ICC Men's T20 World Cup Sub Regional Africa Qualifier,Integrated Polytechnic Regional Centre,Kigali City,Ghana,Sierra Leone,Sierra Leone,field,135,61,Sierra Leone,18.0,,D/L,
1590,1343784,2022-12-06,ICC Men's T20 World Cup Sub Regional Africa Qualifier,Gahanga International Cricket Stadium. Rwanda,Kigali City,Tanzania,Eswatini,Eswatini,field,186,120,Tanzania,66.0,,,AR Patwa
1591,1343785,2022-12-06,ICC Men's T20 World Cup Sub Regional Africa Qualifier,Integrated Polytechnic Regional Centre,Kigali City,Gambia,Sierra Leone,Sierra Leone,field,81,84,Sierra Leone,,8.0,,G Ngegba
1592,1343786,2022-12-06,ICC Men's T20 World Cup Sub Regional Africa Qualifier,Gahanga International Cricket Stadium. Rwanda,Kigali City,Gambia,Tanzania,Tanzania,field,59,61,Tanzania,,10.0,,YM Nkanya
1593,1343788,2022-12-08,ICC Men's T20 World Cup Sub Regional Africa Qualifier,Gahanga International Cricket Stadium. Rwanda,Kigali City,Ghana,Gambia,Ghana,bat,215,69,Ghana,138.0,,D/L,OH Agbomadzie
1594,1343790,2022-12-08,ICC Men's T20 World Cup Sub Regional Africa Qualifier,Gahanga International Cricket Stadium. Rwanda,Kigali City,Nigeria,Tanzania,Tanzania,field,101,19,no result,,,,
1595,1343791,2022-12-08,ICC Men's T20 World Cup Sub Regional Africa Qualifier,Integrated Polytechnic Regional Centre,Kigali City,Mozambique,Gambia,Mozambique,bat,127,70,Mozambique,40.0,,D/L,J Bulele
1596,1343793,2022-12-09,ICC Men's T20 World Cup Sub Regional Africa Qualifier,Integrated Polytechnic Regional Centre,Kigali City,Gambia,Cameroon,Gambia,bat,115,104,Gambia,11.0,,,Muhammed Manga
1597,1343794,2022-12-09,ICC Men's T20 World Cup Sub Regional Africa Qualifier,Gahanga International Cricket Stadium. Rwanda,Kigali City,Ghana,Nigeria,Ghana,bat,127,131,Nigeria,,6.0,,P Aho
1598,1343795,2022-12-09,ICC Men's T20 World Cup Sub Regional Africa Qualifier,Integrated Polytechnic Regional Centre,Kigali City,Tanzania,Cameroon,Tanzania,bat,218,34,Tanzania,184.0,,,YM Nkanya
1599,1349124,2022-12-13,Tri-Nation T20 Cup (Rwanda),"Gahanga International Cricket Stadium, Rwanda",Kigali City,Tanzania,Rwanda,Rwanda,field,147,81,Tanzania,66.0,,,AP Rajeevan
1600,1349126,2022-12-14,Tri-Nation T20 Cup (Rwanda),"Gahanga International Cricket Stadium, Rwanda",Kigali City,Uganda,Rwanda,Rwanda,field,185,100,Uganda,85.0,,,J Baguma
1601,1349127,2022-12-14,Tri-Nation T20 Cup (Rwanda),"Gahanga International Cricket Stadium, Rwanda",Kigali City,Tanzania,Uganda,Tanzania,bat,48,0,no result,,,,
1602,1349128,2022-12-15,Tri-Nation T20 Cup (Rwanda),"Gahanga International Cricket Stadium, Rwanda",Kigali City,Uganda,Rwanda,Uganda,bat,168,35,Uganda,133.0,,,Bilal Hassun
1603,1349129,2022-12-15,Tri-Nation T20 Cup (Rwanda),"Gahanga International Cricket Stadium, Rwanda",Kigali City,Uganda,Tanzania,Tanzania,field,169,156,Uganda,13.0,,,RG Mukasa
1604,1349379,2022-12-15,Quadrangular Twenty20 Series (Malaysia),"UKM-YSD Cricket Oval, Bangi",Bangi,Singapore,Qatar,Singapore,bat,130,134,Qatar,,5.0,,I Liyanage
1605,1349131,2022-12-16,Tri-Nation T20 Cup (Rwanda),"Gahanga International Cricket Stadium, Rwanda",Kigali City,Rwanda,Tanzania,Tanzania,field,128,131,Rwanda,1.0,,D/L,W Niyitanga
1606,1349380,2022-12-16,Quadrangular Twenty20 Series (Malaysia),"UKM-YSD Cricket Oval, Bangi",Bangi,Qatar,Malaysia,Qatar,bat,126,127,Malaysia,,8.0,,Rizwan Haider
1607,1349132,2022-12-18,Tri-Nation T20 Cup (Rwanda),"Gahanga International Cricket Stadium, Rwanda",Kigali City,Uganda,Tanzania,Uganda,bat,107,105,Uganda,2.0,,,C Kyewuta
1608,1349133,2022-12-18,Tri-Nation T20 Cup (Rwanda),"Gahanga International Cricket Stadium, Rwanda",Kigali City,Rwanda,Tanzania,Rwanda,bat,118,123,Tanzania,,6.0,,SA Jumbe
1609,1349382,2022-12-18,Quadrangular Twenty20 Series (Malaysia),"UKM-YSD Cricket Oval, Bangi",Bangi,Bahrain,Qatar,Qatar,field,164,151,Bahrain,13.0,,,Sarfaraz Ali
1610,1349383,2022-12-18,Quadrangular Twenty20 Series (Malaysia),"UKM-YSD Cricket Oval, Bangi",Bangi,Malaysia,Singapore,Malaysia,bat,207,87,Malaysia,120.0,,,Virandeep Singh
1611,1349134,2022-12-19,Tri-Nation T20 Cup (Rwanda),"Gahanga International Cricket Stadium, Rwanda",Kigali City,Uganda,Tanzania,Uganda,bat,132,137,Tanzania,,5.0,,SA Jumbe
1612,1349384,2022-12-19,Quadrangular Twenty20 Series (Malaysia),"UKM-YSD Cricket Oval, Bangi",Bangi,Singapore,Qatar,Qatar,field,140,141,Qatar,,8.0,,
1613,1349385,2022-12-19,Quadrangular Twenty20 Series (Malaysia),"UKM-YSD Cricket Oval, Bangi",Bangi,Bahrain,Malaysia,Bahrain,bat,179,182,Malaysia,,7.0,,Virandeep Singh
1614,1349136,2022-12-20,Tri-Nation T20 Cup (Rwanda),"Gahanga International Cricket Stadium, Rwanda",Kigali City,Tanzania,Rwanda,Tanzania,bat,134,103,Tanzania,31.0,,,K Nassoro
1615,1349137,2022-12-20,Tri-Nation T20 Cup (Rwanda),"Gahanga International Cricket Stadium, Rwanda",Kigali City,Rwanda,Uganda,Uganda,field,67,68,Uganda,,7.0,,Bilal Hassun
1616,1349386,2022-12-21,Quadrangular Twenty20 Series (Malaysia),"UKM-YSD Cricket Oval, Bangi",Bangi,Singapore,Bahrain,Bahrain,field,168,172,Bahrain,,6.0,,Rizwan Butt
1617,1349387,2022-12-21,Quadrangular Twenty20 Series (Malaysia),"UKM-YSD Cricket Oval, Bangi",Bangi,Malaysia,Qatar,Malaysia,bat,61,0,no result,,,,
1618,1349138,2022-12-22,Tri-Nation T20 Cup (Rwanda),"Gahanga International Cricket Stadium, Rwanda",Kigali City,Tanzania,Rwanda,Rwanda,field,136,108,Tanzania,28.0,,,AM Kimote
1619,1349139,2022-12-22,Tri-Nation T20 Cup (Rwanda),"Gahanga International Cricket Stadium, Rwanda",Kigali City,Uganda,Tanzania,Uganda,bat,183,176,Uganda,7.0,,,S Sesazi
1620,1349388,2022-12-22,Quadrangular Twenty20 Series (Malaysia),"UKM-YSD Cricket Oval, Bangi",Bangi,Malaysia,Singapore,Malaysia,bat,223,80,Malaysia,143.0,,,Ahmed Faiz
1621,1349389,2022-12-22,Quadrangular Twenty20 Series (Malaysia),"UKM-YSD Cricket Oval, Bangi",Bangi,Bahrain,Qatar,Qatar,field,97,0,no result,,,,
1622,1349140,2022-12-23,Tri-Nation T20 Cup (Rwanda),"Gahanga International Cricket Stadium, Rwanda",Kigali City,Uganda,Rwanda,Rwanda,field,108,105,Uganda,3.0,,,J Baguma
1623,1349390,2022-12-23,Quadrangular Twenty20 Series (Malaysia),"UKM-YSD Cricket Oval, Bangi",Bangi,Singapore,Qatar,Qatar,field,164,165,Qatar,,9.0,,Mohammad Rizlan
1624,1349391,2022-12-23,Quadrangular Twenty20 Series (Malaysia),"UKM-YSD Cricket Oval, Bangi",Bangi,Malaysia,Bahrain,Malaysia,bat,153,156,Bahrain,,6.0,,Sohail Ahmed
1625,1348640,2023-01-03,Sri Lanka tour of India,"Wankhede Stadium, Mumbai",Mumbai,India,Sri Lanka,Sri Lanka,field,162,160,India,2.0,,,DJ Hooda
1626,1348641,2023-01-05,Sri Lanka tour of India,"Maharashtra Cricket Association Stadium, Pune",Pune,Sri Lanka,India,India,field,206,190,Sri Lanka,16.0,,,MD Shanaka
1627,1348642,2023-01-07,Sri Lanka tour of India,"Saurashtra Cricket Association Stadium, Rajkot",Rajkot,India,Sri Lanka,India,bat,228,137,India,91.0,,,SA Yadav
1628,1348323,2023-01-12,Ireland tour of Zimbabwe,Harare Sports Club,Harare,Ireland,Zimbabwe,Zimbabwe,field,114,118,Zimbabwe,,5.0,,RP Burl
1629,1348324,2023-01-14,Ireland tour of Zimbabwe,Harare Sports Club,Harare,Zimbabwe,Ireland,Ireland,field,144,150,Ireland,,6.0,,GR Adair
1630,1348325,2023-01-15,Ireland tour of Zimbabwe,Harare Sports Club,Harare,Ireland,Zimbabwe,Zimbabwe,field,141,144,Zimbabwe,,4.0,,RP Burl
1631,1348649,2023-01-27,New Zealand tour of India,"JSCA International Stadium Complex, Ranchi",Ranchi,New Zealand,India,India,field,176,155,New Zealand,21.0,,,DJ Mitchell
1632,1348650,2023-01-29,New Zealand tour of India,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,New Zealand,India,New Zealand,bat,99,101,India,,6.0,,SA Yadav
1633,1348651,2023-02-01,New Zealand tour of India,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,India,New Zealand,India,bat,234,66,India,168.0,,,Shubman Gill
1634,1359786,2023-02-21,Bermuda tour of Argentina,"St Albans Club, Buenos Aires",Buenos Aires,Argentina,Bermuda,Argentina,bat,77,78,Bermuda,,6.0,,
1635,1359787,2023-02-22,Bermuda tour of Argentina,"Belgrano Athletic Club Ground, Buenos Aires",Buenos Aires,Bermuda,Argentina,Argentina,field,226,119,Bermuda,107.0,,,
1636,1354799,2023-02-24,Isle of Man tour of Spain,La Manga Club Bottom Ground,Murcia,Spain,Isle of Man,Spain,bat,151,0,no result,,,,
1637,1354800,2023-02-25,Isle of Man tour of Spain,La Manga Club Bottom Ground,Murcia,Isle of Man,Spain,Isle of Man,bat,66,70,Spain,,8.0,,C Rumistrzewicz
1638,1354801,2023-02-25,Isle of Man tour of Spain,La Manga Club Bottom Ground,Murcia,Isle of Man,Spain,Isle of Man,bat,116,120,Spain,,6.0,,Mohammad Kamran
1639,1359794,2023-02-25,ICC Men's T20 World Cup Americas Region Qualifier,"Hurlingham Club Ground, Buenos Aires",Buenos Aires,Panama,Argentina,Argentina,field,139,86,Panama,53.0,,,
1640,1359795,2023-02-25,ICC Men's T20 World Cup Americas Region Qualifier,"St Albans Club, Buenos Aires",Buenos Aires,Bermuda,Cayman Islands,Bermuda,bat,173,77,Bermuda,96.0,,,KS Leverock
1641,1354802,2023-02-26,Isle of Man tour of Spain,La Manga Club Bottom Ground,Murcia,Isle of Man,Spain,Spain,field,132,135,Spain,,7.0,,Shafat Ali Syed
1642,1354803,2023-02-26,Isle of Man tour of Spain,La Manga Club Bottom Ground,Murcia,Isle of Man,Spain,Spain,field,10,13,Spain,,10.0,,Atif Mehmood
1643,1359792,2023-02-26,ICC Men's T20 World Cup Americas Region Qualifier,"Hurlingham Club Ground, Buenos Aires",Buenos Aires,Panama,Bahamas,Panama,bat,101,105,Bahamas,,4.0,,M Taylor
1644,1359793,2023-02-26,ICC Men's T20 World Cup Americas Region Qualifier,"Belgrano Athletic Club Ground, Buenos Aires",Buenos Aires,Bermuda,Argentina,Bermuda,bat,220,110,Bermuda,110.0,,,DMW Rawlins
1645,1359788,2023-02-28,ICC Men's T20 World Cup Americas Region Qualifier,"St Albans Club, Buenos Aires",Buenos Aires,Cayman Islands,Bahamas,Cayman Islands,bat,125,94,Cayman Islands,31.0,,,YSD Seneveratne
1646,1359789,2023-02-28,ICC Men's T20 World Cup Americas Region Qualifier,"Belgrano Athletic Club Ground, Buenos Aires",Buenos Aires,Bermuda,Panama,Bermuda,bat,196,136,Bermuda,60.0,,,KS Leverock
1647,1359798,2023-03-02,ICC Men's T20 World Cup Americas Region Qualifier,"St Albans Club, Buenos Aires",Buenos Aires,Argentina,Bahamas,Argentina,bat,117,74,Argentina,43.0,,,LA Musiani
1648,1359799,2023-03-02,ICC Men's T20 World Cup Americas Region Qualifier,"Hurlingham Club Ground, Buenos Aires",Buenos Aires,Cayman Islands,Panama,Cayman Islands,bat,138,126,Cayman Islands,12.0,,,RA Sealy
1649,1359800,2023-03-04,ICC Men's T20 World Cup Americas Region Qualifier,"Hurlingham Club Ground, Buenos Aires",Buenos Aires,Bahamas,Bermuda,Bermuda,field,73,74,Bermuda,,9.0,,KS Leverock
1650,1359802,2023-03-04,ICC Men's T20 World Cup Americas Region Qualifier,"Belgrano Athletic Club Ground, Buenos Aires",Buenos Aires,Argentina,Cayman Islands,Argentina,bat,125,126,Cayman Islands,,3.0,,
1651,1361770,2023-03-08,Quadrangular Twenty20 Series (Hong Kong),"Mission Road Ground, Mong Kok, Hong Kong",Mong Kok,Kuwait,Malaysia,Malaysia,field,158,163,Malaysia,,3.0,,Virandeep Singh
1652,1361771,2023-03-08,Quadrangular Twenty20 Series (Hong Kong),"Mission Road Ground, Mong Kok, Hong Kong",Mong Kok,Hong Kong,Bahrain,Bahrain,field,153,138,Hong Kong,15.0,,,Aizaz Khan
1653,1351400,2023-03-09,England tour of Bangladesh,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,England,Bangladesh,Bangladesh,field,156,158,Bangladesh,,6.0,,Nazmul Hossain Shanto
1654,1361772,2023-03-09,Quadrangular Twenty20 Series (Hong Kong),"Mission Road Ground, Mong Kok, Hong Kong",Mong Kok,Malaysia,Bahrain,Bahrain,field,200,147,Malaysia,53.0,,,Muhammad Amir
1655,1361773,2023-03-09,Quadrangular Twenty20 Series (Hong Kong),"Mission Road Ground, Mong Kok, Hong Kong",Mong Kok,Hong Kong,Kuwait,Kuwait,field,161,150,Hong Kong,11.0,,,Haroon Arshad
1656,1361774,2023-03-11,Quadrangular Twenty20 Series (Hong Kong),"Mission Road Ground, Mong Kok, Hong Kong",Mong Kok,Kuwait,Bahrain,Bahrain,field,156,159,Bahrain,,4.0,,Imran Anwar
1657,1361775,2023-03-11,Quadrangular Twenty20 Series (Hong Kong),"Mission Road Ground, Mong Kok, Hong Kong",Mong Kok,Malaysia,Hong Kong,Hong Kong,field,95,98,Hong Kong,,4.0,,Aizaz Khan
1658,1351401,2023-03-12,England tour of Bangladesh,"Shere Bangla National Stadium, Mirpur",Dhaka,England,Bangladesh,Bangladesh,field,117,120,Bangladesh,,4.0,,Mehedi Hasan Miraz
1659,1361776,2023-03-12,Quadrangular Twenty20 Series (Hong Kong),"Mission Road Ground, Mong Kok, Hong Kong",Mong Kok,Bahrain,Kuwait,Kuwait,field,135,136,Kuwait,,6.0,,
1660,1362242,2023-03-12,Quadrangular Twenty20 Series (Hong Kong),"Mission Road Ground, Mong Kok, Hong Kong",Mong Kok,Hong Kong,Malaysia,Malaysia,field,182,143,Hong Kong,39.0,,,Yasim Murtaza
1661,1351402,2023-03-14,England tour of Bangladesh,"Shere Bangla National Stadium, Mirpur",Dhaka,Bangladesh,England,England,field,158,142,Bangladesh,16.0,,,Liton Das
1662,1339604,2023-03-25,West Indies tour of South Africa,"SuperSport Park, Centurion",Centurion,South Africa,West Indies,West Indies,field,131,132,West Indies,,3.0,,R Powell
1663,1339605,2023-03-26,West Indies tour of South Africa,"SuperSport Park, Centurion",Centurion,West Indies,South Africa,South Africa,field,258,259,South Africa,,6.0,,Q de Kock
1664,1355720,2023-03-27,Ireland tour of Bangladesh,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Bangladesh,Ireland,Ireland,field,207,81,Bangladesh,22.0,,D/L,Rony Talukdar
1665,1339606,2023-03-28,West Indies tour of South Africa,"The Wanderers Stadium, Johannesburg",Johannesburg,West Indies,South Africa,South Africa,field,220,213,West Indies,7.0,,,AS Joseph
1666,1355721,2023-03-29,Ireland tour of Bangladesh,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Bangladesh,Ireland,Ireland,field,202,125,Bangladesh,77.0,,,Shakib Al Hasan
1667,1355722,2023-03-31,Ireland tour of Bangladesh,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Bangladesh,Ireland,Bangladesh,bat,124,126,Ireland,,7.0,,PR Stirling
1668,1322362,2023-04-02,Sri Lanka tour of New Zealand,"Eden Park, Auckland",Auckland,Sri Lanka,New Zealand,New Zealand,field,208,204,tie,,,,KIC Asalanka
1669,1322363,2023-04-05,Sri Lanka tour of New Zealand,"University Oval, Dunedin",Dunedin,Sri Lanka,New Zealand,New Zealand,field,141,146,New Zealand,,9.0,,AF Milne
1670,1322364,2023-04-08,Sri Lanka tour of New Zealand,"John Davies Oval, Queenstown",Queenstown,Sri Lanka,New Zealand,New Zealand,field,182,183,New Zealand,,4.0,,TL Seifert
1671,1367722,2023-04-10,Gibraltar tour of Portugal,Santarem Cricket Ground,Albergaria,Portugal,Gibraltar,Portugal,bat,208,84,Portugal,124.0,,,Kuldeep
1672,1367723,2023-04-11,Gibraltar tour of Portugal,Santarem Cricket Ground,Albergaria,Gibraltar,Portugal,Gibraltar,bat,166,167,Portugal,,5.0,,SP Gomes
1673,1367724,2023-04-11,Gibraltar tour of Portugal,Santarem Cricket Ground,Albergaria,Gibraltar,Portugal,Gibraltar,bat,128,129,Portugal,,5.0,,Azhar Andani
1674,1339614,2023-04-14,New Zealand tour of Pakistan,"Gaddafi Stadium, Lahore",Lahore,Pakistan,New Zealand,Pakistan,bat,182,94,Pakistan,88.0,,,Haris Rauf
1675,1339615,2023-04-15,New Zealand tour of Pakistan,"Gaddafi Stadium, Lahore",Lahore,Pakistan,New Zealand,Pakistan,bat,192,154,Pakistan,38.0,,,Babar Azam
1676,1339616,2023-04-17,New Zealand tour of Pakistan,"Gaddafi Stadium, Lahore",Lahore,New Zealand,Pakistan,New Zealand,bat,163,159,New Zealand,4.0,,,TWM Latham
1677,1339617,2023-04-20,New Zealand tour of Pakistan,Rawalpindi Cricket Stadium,Rawalpindi,New Zealand,Pakistan,Pakistan,field,164,0,no result,,,,
1678,1339618,2023-04-24,New Zealand tour of Pakistan,Rawalpindi Cricket Stadium,Rawalpindi,Pakistan,New Zealand,New Zealand,field,193,194,New Zealand,,6.0,,MS Chapman
1679,1367725,2023-05-04,Gibraltar Tri-Nation T20I Series,Europa Sports Complex,Gibraltar,Gibraltar,Portugal,Gibraltar,bat,171,174,Portugal,,7.0,,KJ Stagno
1680,1367726,2023-05-04,Gibraltar Tri-Nation T20I Series,Europa Sports Complex,Gibraltar,Portugal,Malta,Malta,field,160,76,Portugal,84.0,,,Sirajullah Khadim
1681,1367727,2023-05-05,Gibraltar Tri-Nation T20I Series,Europa Sports Complex,Gibraltar,Gibraltar,Malta,Gibraltar,bat,176,133,Gibraltar,43.0,,,IDM Latin
1682,1367729,2023-05-05,Gibraltar Tri-Nation T20I Series,Europa Sports Complex,Gibraltar,Portugal,Malta,Portugal,bat,162,145,Portugal,17.0,,,F Stoman
1683,1367728,2023-05-06,Gibraltar Tri-Nation T20I Series,Europa Sports Complex,Gibraltar,Gibraltar,Portugal,Gibraltar,bat,90,93,Portugal,,9.0,,Kuldeep
1684,1367730,2023-05-06,Gibraltar Tri-Nation T20I Series,Europa Sports Complex,Gibraltar,Gibraltar,Malta,Gibraltar,bat,143,63,Gibraltar,80.0,,,L Bruce
1685,1367733,2023-05-06,Gibraltar Tri-Nation T20I Series,Europa Sports Complex,Gibraltar,Malta,Portugal,Malta,bat,156,157,Portugal,,7.0,,Kuldeep
1686,1367731,2023-05-07,Gibraltar Tri-Nation T20I Series,Europa Sports Complex,Gibraltar,Malta,Gibraltar,Malta,bat,165,164,Malta,1.0,,,Fazil Rahman
